alt=106;v=6;deltaV=6.07448092124108
alt=116;v=12;deltaV=6.29843375531651
alt=134;v=19;deltaV=6.54210667048059
alt=160;v=26;deltaV=6.93335457192421
alt=195;v=33;deltaV=6.9455696954624
alt=235;v=40;deltaV=6.74785139367337
alt=287;v=47;deltaV=7.47515679858817
alt=344;v=54;deltaV=7.14101233439425
alt=413;v=62;deltaV=7.74949902583711
alt=486;v=69;deltaV=7.5161188482803
alt=568;v=77;deltaV=7.72409266946948
alt=661;v=85;deltaV=8.20718698169892
alt=765;v=94;deltaV=8.70241608907619
alt=884;v=103;deltaV=9.35482994841814
alt=1013;v=113;deltaV=9.49926262691685
alt=1144;v=122;deltaV=9.26076656562084
alt=1295;v=132;deltaV=10.1125892602001
alt=1448;v=142;deltaV=9.81178506989613
alt=1616;v=152;deltaV=10.2319658732378
alt=1788;v=162;deltaV=10.0649131361848
alt=1975;v=173;deltaV=10.4602076071912
alt=2174;v=184;deltaV=10.6627218286443
alt=2390;v=195;deltaV=11.0728475400825
alt=2618;v=206;deltaV=11.293643355879
alt=2849;v=217;deltaV=11.0008576205843
alt=3098;v=228;deltaV=11.4264393440653
alt=3364;v=240;deltaV=11.8105799852657
alt=3639;v=252;deltaV=11.771609184391
alt=3932;v=264;deltaV=12.1318239244789
alt=4240;v=276;deltaV=12.1250033995846
alt=4561;v=288;deltaV=11.7834198216423
alt=4895;v=299;deltaV=11.4918847156437
alt=5242;v=311;deltaV=11.5999182175546
alt=5595;v=323;deltaV=11.7045318733249
alt=5969;v=335;deltaV=12.1580537584231
alt=6357;v=347;deltaV=12.4032001552279
alt=6759;v=360;deltaV=12.7012065300962
alt=7176;v=373;deltaV=13.0079385551656
alt=7608;v=386;deltaV=13.3532130815235
alt=8055;v=400;deltaV=13.7203713158729
alt=8508;v=414;deltaV=13.8109780933156
alt=8987;v=428;deltaV=14.4852326759748
alt=9483;v=443;deltaV=14.9059191799063
alt=9995;v=459;deltaV=15.380801337704
alt=10525;v=474;deltaV=15.82559639851
alt=11085;v=491;deltaV=16.6035812444348
alt=11652;v=508;deltaV=16.7550701414073
alt=12228;v=525;deltaV=16.9299354699905
alt=12834;v=542;deltaV=17.7217440143332
alt=13460;v=561;deltaV=18.2444512730402
alt=14108;v=579;deltaV=18.7349910352514
alt=14777;v=599;deltaV=19.202274557986
alt=15468;v=618;deltaV=19.7749071482889
alt=16182;v=638;deltaV=19.7305348054856
alt=16904;v=659;deltaV=20.3648621354391
alt=17664;v=680;deltaV=21.3557680845839
alt=18449;v=702;deltaV=21.8624071183633
alt=19242;v=724;deltaV=21.9750717005178
alt=20077;v=747;deltaV=22.9502762504266
alt=20921;v=770;deltaV=23.0700975055544
alt=21809;v=794;deltaV=23.9850111372979
alt=22724;v=818;deltaV=24.6241661658378
alt=23648;v=843;deltaV=24.6659449182675
alt=24601;v=868;deltaV=25.0953991668097
alt=25562;v=893;deltaV=25.2598458693232
alt=26571;v=920;deltaV=26.2862374657616
alt=27609;v=946;deltaV=26.8036633468477
alt=28677;v=974;deltaV=27.4286231501293
alt=29776;v=1002;deltaV=27.9113386509468
alt=30929;v=1031;deltaV=29.1183295288686
alt=32092;v=1060;deltaV=29.1528464374435
alt=33312;v=1090;deltaV=30.3376944081349
alt=34542;v=1121;deltaV=30.3327836935596
alt=35831;v=1152;deltaV=31.6453816250105
alt=37130;v=1184;deltaV=31.6213484640493
alt=38491;v=1217;deltaV=32.9773667245686
alt=39863;v=1250;deltaV=33.0375513161966
alt=41272;v=1284;deltaV=33.6910473302505
alt=42747;v=1319;deltaV=35.1197603088788
alt=44262;v=1355;deltaV=35.9196672974476
alt=45819;v=1391;deltaV=36.6589643272725
alt=47417;v=1429;deltaV=37.5101872950818
alt=49026;v=1467;deltaV=37.5712914593305
alt=50645;v=1504;deltaV=37.7136794239955
alt=52473;v=1547;deltaV=42.3967751203138
alt=54214;v=1587;deltaV=40.2798326389877
alt=56001;v=1628;deltaV=41.2258350588277
alt=57833;v=1670;deltaV=42.1522331101269
alt=59713;v=1713;deltaV=43.1846985785951
alt=61642;v=1758;deltaV=44.2149950854068
alt=63580;v=1802;deltaV=44.3893672121021
alt=65568;v=1848;deltaV=45.4480321542701
alt=67688;v=1896;deltaV=48.4909914611098
alt=69821;v=1945;deltaV=48.7904923818223
alt=72009;v=1995;deltaV=50.0472080404159
alt=74209;v=2045;deltaV=50.3233981265537
alt=76556;v=2099;deltaV=53.7717752680235
alt=78917;v=2153;deltaV=54.1670236398991
alt=81291;v=2208;deltaV=54.5843853323645
alt=83774;v=2265;deltaV=57.2613577936827
alt=86373;v=2325;deltaV=60.0346503804003
alt=88988;v=2386;deltaV=60.675767256851
alt=91809;v=2399;deltaV=13.4230561176605
alt=94624;v=2393;deltaV=-6.52531369441613
alt=97223;v=2387;deltaV=-5.99911926570803
alt=99867;v=2380;deltaV=-6.09325778777065
alt=102555;v=2374;deltaV=-6.39616381940186
alt=105235;v=2368;deltaV=-6.41031515213763
alt=107907;v=2361;deltaV=-6.33273761817691
alt=110572;v=2355;deltaV=-6.29222069569187
alt=113178;v=2349;deltaV=-6.11781769117897
